종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
006840,AK홀딩스,"54,000","-500","0.92","787,046,100","715,368,294,000"
027410,BGF,"8,070","-40","0.49","604,626,010","769,629,274,530"
282330,BGF리테일,"204,000","1,000","0.49","3,303,972,500","3,525,916,824,000"
138930,BNK금융지주,"7,330","-20","0.27","6,114,799,170","2,389,105,353,180"
001040,CJ,"121,500","1,000","0.83","6,471,953,500","3,545,005,257,000"
079160,CJ CGV,"41,000","-100","0.24","3,163,325,450","867,613,833,000"
000120,CJ대한통운,"167,000","-1,500","0.89","4,838,444,500","3,809,661,448,000"
097950,CJ제일제당,"330,500","5,000","1.54","11,101,609,500","4,975,408,473,000"
005830,DB손해보험,"70,400","-600","0.85","7,848,478,700","4,984,320,000,000"
000990,DB하이텍,"10,850","150","1.40","1,376,448,350","481,724,679,800"
114090,GKL,"24,900","100","0.40","3,919,973,300","1,540,206,183,000"
078930,GS,"51,600","1,100","2.18","8,278,266,800","4,794,433,504,800"
006360,GS건설,"43,750","-750","1.69","22,146,125,250","3,469,245,850,000"
007070,GS리테일,"40,500","1,050","2.66","7,013,193,050","3,118,500,000,000"
012630,HDC,"17,250","-100","0.58","4,730,945,800","1,030,544,687,250"
294870,HDC현대산업개발,"48,200","850","1.80","4,368,908,600","2,117,822,204,000"
001060,JW중외제약,"40,750","250","0.62","2,553,501,950","807,072,495,000"
096760,JW홀딩스,"7,140","50","0.71","268,746,010","451,666,096,980"
105560,KB금융,"46,500","1,050","2.31","38,509,592,150","19,442,186,470,500"
002380,KCC,"309,000","3,000","0.98","4,972,544,500","3,261,962,517,000"
030200,KT,"29,800","200","0.68","18,877,567,886","7,781,131,878,400"
033780,KT&G,"101,500","0","0.00","29,441,941,500","13,935,188,445,500"
093050,LF,"24,850","-200","0.80","1,053,507,250","726,614,000,000"
003550,LG,"69,900","1,200","1.75","10,180,559,700","12,061,743,456,900"
034220,LG디스플레이,"18,050","-150","0.82","14,319,667,600","6,458,573,385,000"
001120,LG상사,"15,350","0","0.00","1,229,214,400","594,966,000,000"
051900,LG생활건강,"1,101,000","20,000","1.85","26,229,171,000","17,195,634,897,000"
032640,LG유플러스,"17,650","650","3.82","26,019,247,650","7,706,190,521,650"
011070,LG이노텍,"86,400","-1,300","1.48","8,666,106,500","2,044,838,044,800"
066570,LG전자,"62,300","400","0.65","29,137,707,700","10,195,258,812,200"
108670,LG하우시스,"56,600","-200","0.35","676,490,800","507,570,122,000"
051910,LG화학,"347,000","0","0.00","37,503,088,000","24,495,543,021,000"
079550,LIG넥스원,"36,950","3,250","9.64","10,990,372,600","812,900,000,000"
006260,LS,"49,100","600","1.24","3,222,831,400","1,581,020,000,000"
010120,LS산전,"49,000","-350","0.71","3,694,915,800","1,470,000,000,000"
035420,NAVER,"122,000","-500","0.41","39,344,095,000","20,107,234,190,000"
005940,NH투자증권,"13,050","100","0.77","8,560,670,150","3,672,385,975,350"
010060,OCI,"107,000","2,500","2.39","10,306,502,500","2,551,882,697,000"
005490,POSCO,"243,000","1,500","0.62","31,720,146,000","21,186,400,905,000"
064960,S&T모티브,"27,050","-850","3.05","818,283,700","395,555,828,800"
010950,S-Oil,"97,700","-3,300","3.27","54,218,490,100","10,999,338,778,400"
034120,SBS,"20,000","400","2.04","525,081,150","365,051,640,000"
034730,SK,"260,000","2,000","0.78","16,353,312,000","18,293,677,220,000"
011790,SKC,"35,800","400","1.13","3,953,278,550","1,343,737,069,000"
001740,SK네트웍스,"5,200","-70","1.33","5,680,065,140","1,290,575,764,400"
006120,SK디스커버리,"26,100","100","0.38","442,684,400","496,888,015,500"
096770,SK이노베이션,"179,500","500","0.28","25,409,727,000","16,597,568,738,000"
285130,SK케미칼,"70,000","200","0.29","1,417,495,600","810,589,640,000"
017670,SK텔레콤,"269,500","3,500","1.32","43,987,800,500","21,760,969,114,500"
000660,SK하이닉스,"60,500","-1,100","1.79","100,586,317,600","44,044,143,082,500"
005610,SPC삼립,"127,500","1,500","1.19","681,105,500","1,100,198,647,500"
035250,강원랜드,"32,000","50","0.16","9,057,964,100","6,846,096,000,000"
010130,고려아연,"432,500","-10,500","2.37","13,563,403,000","8,161,275,000,000"
002240,고려제강,"23,250","-450","1.90","588,461,700","465,000,000,000"
011780,금호석유,"87,300","1,700","1.99","5,421,014,700","2,659,829,424,300"
