Code,Issue Name,Market Cap(KRW),Index Market Cap weight(%),Price on 20171228,Price on 20181228,Share Price Change(%),Exchange
035760,CJ ENM,"4,426,936,929,600",2.82,221700,209400,-5.55,kq
051500,CJ FW,"314,597,029,000",0.18,35950,30000,-16.55,kq
058820,CMG Pharmaceutical,"461,137,478,340",0.46,8130,4465,-45.08,kq
028150,GSHS,"1,178,625,000,000",0.89,217600,186600,-14.25,kq
067290,JW SHINYAK,"279,586,683,860",0.25,10000,6790,-32.1,kq
035900,JYP Ent.,"1,069,495,284,000",1.09,15850,28000,76.66,kq
035600,KGINICIS,"429,728,283,600",0.33,20850,14850,-28.78,kq
030190,NICE INFO,"664,827,279,000",0.5,10150,11000,8.37,kq
218410,RFHIC,"552,170,591,400",0.42,20050,26450,31.92,kq
178920,SKPI,"974,961,890,400",0.61,43300,34250,-20.9,kq
036490,SK Materials,"1,592,698,623,000",0.88,173200,160200,-7.51,kq
063080,GAMEVIL,"358,778,444,800",0.31,66000,55900,-15.3,kq
098460,Koh Young,"1,129,255,957,500",1.22,90000,79600,-11.56,kq
121440,GOLFZON NEWDIN HOLDINGS,"157,853,674,330",0.1,6170,3765,-38.98,kq
089600,Nasmedia,"248,633,224,400",0.13,78500,34750,-55.73,kq
168330,NaturalendoTech,"281,055,179,200",0.3,22450,15000,-33.18,kq
092730,Neopharm,"335,755,665,000",0.29,50000,41900,-16.2,kq
007390,NATURECELL,"631,371,148,100",0.63,31750,12350,-61.1,kq
144510,Green Cross Lab Cell,"484,431,078,600",0.31,58500,43450,-25.73,kq
031390,GREEN CROSS CELL,"598,577,156,500",0.57,56500,49200,-12.92,kq
222040,NUTRIBIOTECH,"338,299,200,000",0.28,24750,15700,-36.57,kq
068240,DAWONSYS,"415,006,806,300",0.43,23000,16500,-28.26,kq
045390,DAEATI,"584,153,995,620",0.66,1875,8530,354.93,kq
010170,TaihanFiberoptics,"376,082,287,500",0.38,7150,5390,-24.62,kq
067080,DH PHARM,"360,854,485,200",0.32,30300,20800,-31.35,kq
192080,DoubleUGames,"1,091,188,420,400",0.72,61800,54000,-12.62,kq
213420,DUK SAN NEOLUX,"340,942,170,400",0.18,20000,15050,-24.75,kq
100130,Dongkuk S&C,"167,714,705,000",0.11,6190,3210,-48.14,kq
086450,DongKook Pharm,"514,846,800,000",0.37,70500,57100,-19.01,kq
005290,DONGJIN,"375,839,951,140",0.31,17600,8840,-49.77,kq
025900,DONGWHA ENTERPRISE,"293,595,660,200",0.08,33600,19150,-43.01,kq
039840,DIO,"436,177,836,250",0.38,42200,26500,-37.2,kq
141080,LegoChem Bio,"600,446,309,400",0.67,64400,45150,-29.89,kq
058470,LEENO,"717,153,508,500",0.63,61900,49050,-20.76,kq
016100,LEADERS COSMETICS,"199,874,554,000",0.18,20700,11600,-43.96,kq
038290,Macrogen,"310,739,802,200",0.36,51400,30500,-40.66,kq
267980,Maeil Dairies,"618,078,674,400",0.35,71800,78900,9.89,kq
215200,megastudyEdu,"305,220,786,000",0.3,75000,33350,-55.53,kq
086900,MedyTox,"3,268,345,923,000",3.28,617400,527000,-14.64,kq
078160,MEDIPOST,"575,968,417,200",0.72,116800,78400,-32.88,kq
140410,Mezzion Pharma,"795,037,136,000",0.81,43650,85500,95.88,kq
080420,Moda-InnoChips,"326,460,042,090",0.09,10800,8350,-22.69,kq
080160,MODETOUR,"455,490,000,000",0.49,35450,25900,-26.94,kq
049950,meerecompany,"389,294,730,000",0.21,84000,58400,-30.48,kq
206640,Boditech,"250,576,109,600",0.23,21350,10850,-49.18,kq
053030,Binex,"290,656,399,680",0.35,12000,11800,-1.67,kq
084990,ViroMed,"4,052,890,040,000",4.72,275900,260300,-5.65,kq
043150,VATECH,"320,851,929,600",0.2,39150,22500,-42.53,kq
100120,Vieworks,"330,061,545,000",0.32,45000,31950,-29.0,kq
090460,BH,"527,180,236,800",0.49,18300,15250,-16.67,kq
000250,SCD,"840,020,894,000",0.67,34150,39450,15.52,kq
038500,SAMPYO Cement,"461,635,843,900",0.22,3255,5320,63.44,kq
038540,Sangsangin,"852,308,886,450",0.8,22400,18000,-19.64,kq
006730,Seobu T&D,"464,766,014,720",0.29,12550,8480,-32.43,kq
046890,SSC,"1,128,209,490,000",0.99,25500,23400,-8.24,kq
035890,SEOHEE CONSTRUCTION,"206,426,616,550",0.19,1255,1285,2.39,kq
014620,SKB,"326,040,000,000",0.25,12600,11350,-9.92,kq
015750,SW HITECH,"291,200,000,000",0.23,6990,4110,-41.2,kq
036630,SEJONG TELECOM,"283,353,931,472",0.25,666,501,-24.77,kq
068760,Celltrionph,"2,163,184,904,000",1.32,97300,61200,-37.1,kq
091990,Celltrion Healthcare,"10,581,649,139,700",9.06,116800,71300,-38.96,kq
036830,Soulbrain,"827,287,786,050",0.58,64000,51700,-19.22,kq
253450,Studio Dragon,"2,591,957,676,000",0.84,83500,90600,8.5,kq
215600,SillaJen,"5,131,551,925,500",6.39,111500,71300,-36.05,kq
108320,Silicon Works,"546,480,480,000",0.5,53800,38100,-29.18,kq
096530,SEEGENE,"419,744,320,000",0.38,39400,17950,-54.44,kq
025980,Ananti,"1,543,517,156,250",1.38,27350,27450,0.37,kq
092040,Amicogen,"654,430,491,000",0.74,58900,37150,-36.93,kq
067390,ASTK,"161,865,499,100",0.17,23100,12300,-46.75,kq
060570,IRIVER,"375,573,966,040",0.26,6210,7280,17.23,kq
067160,AfreecaTV,"452,893,819,800",0.44,20600,39600,92.23,kq
053800,AHNLAB,"464,642,872,000",0.37,57000,47550,-16.58,kq
065660,ANTEROGEN,"596,690,395,700",0.58,69300,62800,-9.38,kq
217480,SDBIO,"195,459,375,520",0.11,19400,9530,-50.88,kq
073070,Esmo,"618,684,211,250",0.67,4440,7440,67.57,kq
056190,SFA,"1,242,443,096,000",1.04,39800,38450,-3.39,kq
041510,SME,"1,204,016,657,300",1.3,38200,45500,19.11,kq
007820,SMC,"173,493,972,360",0.15,17100,10200,-40.35,kq
052020,STCUBE,"614,344,743,000",0.77,6310,22900,262.92,kq
237690,ST Pharm,"369,388,800,000",0.22,45250,19350,-57.24,kq
028300,HLB,"3,129,802,210,800",3.48,48250,71600,48.39,kq
067630,HLBLS,"624,336,350,000",0.78,7720,15500,100.78,kq
182400,ATGen,"321,352,838,450",0.36,23150,13300,-42.55,kq
